,latitud,longitud,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_type_Casa,property_type_Departamento,property_type_PH
193609,-34.575231,-58.511523,3.0,2.0,62.0,62.0,0,1,0
193610,-34.580726,-58.495597,1.0,1.0,25.0,25.0,0,1,0
193702,-34.6560625321,-58.522898654,3.0,2.0,108.0,62.0,0,0,1
193708,-34.6430668,-58.4967273,5.0,3.0,160.0,160.0,0,0,1
193716,-34.56402969,-58.48557663,5.0,4.0,168.0,123.0,0,0,1
193722,-34.6289058,-58.4312662,3.0,2.0,91.0,51.0,0,0,1
193723,-34.6042046,-58.4942673,4.0,3.0,136.0,79.0,0,0,1
193868,-34.62316895,-58.5222435,3.0,2.0,341.0,220.0,1,0,0
194144,-34.6281787,-58.3671765,3.0,2.0,60.0,60.0,0,1,0
194145,-34.637228,-58.4176312,2.0,1.0,62.0,50.0,0,1,0
194146,-34.6267456,-58.424749,5.0,2.0,136.0,136.0,0,1,0
194169,-34.6361386,-58.4690709,1.0,1.0,43.56056931438437,35.0,0,1,0
194170,-34.64225769,-58.45894623,2.0,1.0,39.0,39.0,0,1,0
194184,-34.5495173,-58.4542392,2.0,1.0,68.0,52.201578085058216,0,1,0
194186,-34.5367012,-58.46791077,4.0,3.0,107.0,107.0,0,1,0
194188,-34.5424211,-58.4627151,1.0,1.0,32.0,29.0,0,1,0
194190,-34.5545158,-58.460431,2.0,1.0,62.0,59.0,0,1,0
194191,-34.54337692,-58.46512604,2.0,1.0,63.0,55.0,0,1,0
194193,-34.54464722,-58.46077347,3.0,2.0,90.0,65.0,0,1,0
194194,-34.5998341,-58.3756421,3.0,2.0,119.0,91.0,0,1,0
194201,-34.60749084334124,-58.42187659886588,2.0,1.0,43.0,38.0,0,1,0
194203,-34.6058373,-58.4246868,2.0,1.0,27.0,27.0,0,1,0
194204,-34.5995033,-58.4152231,2.0,1.0,63.0,63.0,0,1,0
194205,-34.6010941,-58.4298434,4.0,3.0,101.0,94.0,0,1,0
194208,-34.6044676,-58.4147628,4.0,3.0,111.0,101.0,0,1,0
194212,-34.5670546,-58.4350584,4.0,3.0,222.0,197.0,0,1,0
194213,-34.5677714,-58.4301071,6.0,3.0,184.0,165.0,0,1,0
194214,-34.5810459,-58.4245272,1.0,1.0,41.0,23.76634350258159,0,1,0
194215,-34.5665368,-58.4341118,5.0,4.0,206.0,206.0,0,1,0
194216,-34.5649188,-58.4383347,4.0,3.0,135.0,135.0,0,1,0
194218,-34.5802803,-58.4336319,2.0,1.0,45.0,45.0,0,1,0
194219,-34.5829336,-58.4514013,1.0,1.0,36.0,36.0,0,1,0
194221,-34.57660294,-58.43353653,2.0,1.0,48.0,45.0,0,1,0
194222,-34.5809327,-58.4074098,3.0,2.0,66.0,63.0,0,1,0
194226,-34.581178,-58.4217438,3.0,2.0,81.0,81.0,0,1,0
194227,-34.57366562,-58.43259048,2.0,1.0,90.0,60.0,0,1,0
194228,-34.5818342978242,-58.42465082921276,3.0,2.0,60.0,60.0,0,1,0
194229,-34.5884505,-58.4173255,2.0,1.0,39.0,39.0,0,1,0
194231,-34.5830022,-58.4219504,1.0,1.0,40.0,36.0,0,1,0
194232,-34.5795573,-58.433152,3.0,2.0,82.0,74.52117180662506,0,1,0
194233,-34.5832559,-58.4429306,2.0,1.0,75.0,63.0,0,1,0
194234,-34.5791803,-58.4063365,6.0,4.0,342.0,334.0,0,1,0
194286,-34.5617543,-58.4526206,4.0,3.0,110.0,98.0,0,1,0
194287,-34.55498123,-58.45656204,4.0,3.0,100.0,84.0,0,1,0
194288,-34.5572052,-58.46353531,4.0,3.0,96.0,86.0,0,1,0
194292,-34.5555936,-58.453403,3.0,2.0,49.0,49.0,0,1,0
194293,-34.55482483,-58.44961166,2.0,1.0,68.0,48.0,0,1,0
194295,-34.55598068,-58.46323013,2.0,1.0,33.0,33.0,0,1,0
194296,-34.5719868,-58.4560592,4.0,3.0,124.0,120.0,0,1,0
194297,-34.55604172,-58.45637131,3.0,2.0,72.0,65.0,0,1,0
194299,-34.5671325,-58.4539234,1.0,1.0,38.0,35.0,0,1,0
194300,-34.563442,-58.4485716,5.0,3.0,236.0,185.0,0,1,0
194302,-34.5719868,-58.4560592,4.0,3.0,140.0,128.0,0,1,0
194303,-34.5575603,-58.4585313,3.0,2.0,76.0,58.0,0,1,0
194304,-34.55638504,-58.4499855,1.0,1.0,35.0,30.0,0,1,0
194305,-34.55979156,-58.45454788,4.0,3.0,75.0,68.0,0,1,0
194306,-34.545920041,-58.4592017614,3.0,2.0,83.0,80.0,0,1,0
194308,-34.56251995666168,-58.453841022697546,2.0,1.0,45.0,45.0,0,1,0
194309,-34.5546516,-58.4552317,3.0,2.0,102.0,102.0,0,1,0
194310,-34.56251995666168,-58.453841022697546,7.0,4.0,240.0,225.0,0,1,0
